report_line,figure_path,is_ppt_cropped(_cap),matched_chart,chart_exists,generating_script,other_dependency_scripts,dependency_input_output_files,notes
55,doc/report2026/figures/20251208_05_plot_GHG_total_1p5CRM_cap.png,True,charts/20251208_05_plot_GHG_total_1p5CRM.png,True,scripts/20251208_05_plot_GHG_total_1p5CRM.py,scripts/20250506_05_import_GHG_data.py; scripts/20251205_02_extract_GHGI_ghg_toplevel.py; scripts/20251208_04_import_1p5CRM_balance_GHG.py; scripts/20251208_04_import_1p5CRM_steps_GHG.py; scripts/config.py,inputs/1p5CRM/20240123GHGpath_rev1.xlsx; inputs/GHGI/20250506_05_data_structure.xlsx; inputs/GHGI/L5-7gas_2025_gioweb_1.0_mod.xlsx; outputs/20250506_GHGI/20250506_05_ghg_data.json; outputs/20251201_31_GHGI/20251205_32_GHGI_ghg_toplevel.json; outputs/20251208_01_1p5CRM_GHG/20251208_04_1p5CRM_balance_GHG_data.json; outputs/20251208_01_1p5CRM_GHG/20251208_04_1p5CRM_steps_GHG_data.json,
109,doc/report2026/figures/20260224common_sectors.png,False,,False,,,,PowerPointで直接作成
120,doc/report2026/figures/20260122_06_plot_GHG_total_cap.png,True,charts/20260122_06_plot_GHG_total.png,True,scripts/20260122_06_plot_GHG_total.py,scripts/20250506_05_import_GHG_data.py; scripts/20251205_02_extract_GHGI_ghg_toplevel.py; scripts/config.py,inputs/GHGI/20250506_05_data_structure.xlsx; inputs/GHGI/L5-7gas_2025_gioweb_1.0_mod.xlsx; outputs/20250506_GHGI/20250506_05_ghg_data.json; outputs/20251201_31_GHGI/20251205_32_GHGI_ghg_toplevel.json,
134,doc/report2026/figures/20251208_01_plot_GHG_total_IPCC_cap.png,True,charts/20251208_01_plot_GHG_total_IPCC.png,True,scripts/20251208_01_plot_GHG_total_IPCC.py,scripts/20250506_05_import_GHG_data.py; scripts/20251205_02_extract_GHGI_ghg_toplevel.py; scripts/config.py,inputs/GHGI/20250506_05_data_structure.xlsx; inputs/GHGI/L5-7gas_2025_gioweb_1.0_mod.xlsx; inputs/IPCC/data_syr_spm5_all_panels.xlsx; outputs/20250506_GHGI/20250506_05_ghg_data.json; outputs/20251201_31_GHGI/20251205_32_GHGI_ghg_toplevel.json,
155,doc/report2026/figures/20260225_02_plot_CO2_net_IPCC_cap.png,True,charts/20260225_02_plot_CO2_net_IPCC.png,True,scripts/20260225_02_plot_CO2_net_IPCC.py,scripts/20250506_05_import_GHG_data.py; scripts/20251205_02_extract_GHGI_ghg_toplevel.py; scripts/config.py,inputs/GHGI/20250506_05_data_structure.xlsx; inputs/GHGI/L5-7gas_2025_gioweb_1.0_mod.xlsx; inputs/IPCC/data_syr_spm5_all_panels.xlsx; outputs/20250506_GHGI/20250506_05_ghg_data.json; outputs/20251201_31_GHGI/20251205_32_GHGI_ghg_toplevel.json,
158,doc/report2026/figures/20260225_03_plot_CO2_net_1p5CRM_cap.png,True,charts/20260225_03_plot_CO2_net_1p5CRM.png,True,scripts/20260225_03_plot_CO2_net_1p5CRM.py,scripts/20250506_05_import_GHG_data.py; scripts/20251205_02_extract_GHGI_ghg_toplevel.py; scripts/20251208_04_import_1p5CRM_balance_GHG.py; scripts/20251208_04_import_1p5CRM_steps_GHG.py; scripts/config.py,inputs/1p5CRM/20240123GHGpath_rev1.xlsx; inputs/GHGI/20250506_05_data_structure.xlsx; inputs/GHGI/L5-7gas_2025_gioweb_1.0_mod.xlsx; outputs/20250506_GHGI/20250506_05_ghg_data.json; outputs/20251201_31_GHGI/20251205_32_GHGI_ghg_toplevel.json; outputs/20251208_01_1p5CRM_GHG/20251208_04_1p5CRM_balance_GHG_data.json; outputs/20251208_01_1p5CRM_GHG/20251208_04_1p5CRM_steps_GHG_data.json,
170,doc/report2026/figures/20260225_05_plot_CH4_IPCC_cap.png,True,charts/20260225_05_plot_CH4_IPCC.png,True,scripts/20260225_05_plot_CH4_IPCC.py,scripts/20250506_05_import_GHG_data.py; scripts/20251205_02_extract_GHGI_ghg_toplevel.py; scripts/config.py,inputs/GHGI/20250506_05_data_structure.xlsx; inputs/GHGI/L5-7gas_2025_gioweb_1.0_mod.xlsx; inputs/IPCC/data_syr_spm5_all_panels.xlsx; outputs/20250506_GHGI/20250506_05_ghg_data.json; outputs/20251201_31_GHGI/20251205_32_GHGI_ghg_toplevel.json,
185,doc/report2026/figures/20260226_03_plot_GHG_total_diff_cap.png,True,charts/20260226_03_plot_GHG_total_diff.png,True,scripts/20260226_03_plot_GHGI_diff.py,scripts/20250506_05_import_GHG_data.py; scripts/20251205_02_extract_GHGI_ghg_toplevel.py; scripts/20251208_02_get_GHGI_diff.py; scripts/config.py,inputs/GHGI/20250506_05_data_structure.xlsx; inputs/GHGI/L5-7gas_2025_gioweb_1.0_mod.xlsx; outputs/20250506_GHGI/20250506_05_ghg_data.json; outputs/20251201_31_GHGI/20251205_32_GHGI_ghg_toplevel.json; outputs/20251201_31_GHGI/20251208_02_GHGI_ghg_toplevel_diff.json,
202,doc/report2026/figures/extra/2026730_03_energy_x_intensity.png,False,,False,,,,PowerPointで直接作成
215,doc/report2026/figures/20260226_04_plot_energy_total_cap.png,True,charts/20260226_04_plot_energy_total.png,True,scripts/20260226_04_plot_energy_total.py,scripts/20250721_04_import_energy_stat.py; scripts/20251118_01_import_1p5CRM_balance_energy.py; scripts/20251118_03_import_1p5CRM_steps_energy.py; scripts/20251201_11_refine_data_structure_1p5CRM_balance_energy.py; scripts/20251201_13_refine_data_structure_1p5CRM_steps_energy.py; scripts/20251201_21_refine_data_structure_energy_stat.py; scripts/20260311_02_import_SEP_numbers.py; scripts/config.py,inputs/1p5CRM/20231114_1p5CRM_balance_energy_co2_rev1.xlsx; inputs/1p5CRM/20231114_1p5CRM_steps_energy_co2_rev4.xlsx; inputs/1p5CRM/20251104_05_1p5CRM_data_structure.xlsx; inputs/20251201_06_data_structure_common.json; inputs/SEP/20260116_02_SEP_numbers.xlsx; inputs/energy_stat/20250721_04_energy_statistics_data_structure.xlsx; inputs/energy_stat/list_energy_stat_excel.txt; inputs/energy_stat/stte_2010.xlsx; inputs/energy_stat/stte_2011.xlsx; inputs/energy_stat/stte_2012.xlsx; inputs/energy_stat/stte_2013.xlsx; inputs/energy_stat/stte_2014.xlsx; inputs/energy_stat/stte_2015.xlsx; inputs/energy_stat/stte_2016.xlsx; inputs/energy_stat/stte_2017.xlsx; inputs/energy_stat/stte_2018.xlsx; inputs/energy_stat/stte_2019.xlsx; inputs/energy_stat/stte_2020.xlsx; inputs/energy_stat/stte_2021.xlsx; inputs/energy_stat/stte_2022.xlsx; inputs/energy_stat/stte_2023.xlsx; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_0_電力.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_10_都市ガス.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_11_再生可能エネルギー(水力を除く).json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_12_水力発電（揚水除く）.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_13_揚水発電.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_14_未活用エネルギー.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_15_原子力発電.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_1_熱.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_2_合計.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_3_エネルギー利用.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_4_非エネルギー利用.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_5_石炭.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_6_石炭製品.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_7_原油.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_8_石油製品.json; outputs/20250721_04_energy_stat/20250721_04_energy_stat_data_9_天然ガス.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_00_石炭.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_01_石炭製品.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_02_石油製品.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_03_LPG.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_04_天然ガス.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_05_都市ガス.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_06_再生可能エネルギー(水力を除く).json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_07_電力.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_08_熱.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_09_合計.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_10_エネルギー利用.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_11_非エネルギー利用.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_12_水素.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_13_合成燃料・合成メタン.json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_14_非エネルギー利用(電力).json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_15_非エネルギー利用(化石).json; outputs/20251118_01_1p5CRM_balance_energy/20251118_01_1p5CRM_balance_energy_data_16_非エネルギー利用(水素).json; outputs/20251118_01_1p5CRM_balance_energy/list_20251118_01_1p5CRM_balance_energy_json.txt; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_00_石炭.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_01_石炭製品.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_02_石油製品.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_03_LPG.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_04_天然ガス.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_05_都市ガス.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_06_再生可能エネルギー(水力を除く).json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_07_電力.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_08_熱.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_09_合計.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_10_エネルギー利用.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_11_非エネルギー利用.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_12_水素.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_13_合成燃料・合成メタン.json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_14_非エネルギー利用(電力).json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_15_非エネルギー利用(化石).json; outputs/20251118_03_1p5CRM_steps_energy/20251118_03_1p5CRM_steps_energy_data_16_非エネルギー利用(水素).json; outputs/20251118_03_1p5CRM_steps_energy/list_20251118_03_1p5CRM_steps_energy_json.txt; outputs/20251120_21_energy_stat/list_20250721_04_energy_stat_json.txt; outputs/20251201_01_1p5CRM_balance_energy/20251201_11_1p5CRM_balance_energy_data_common_10_エネルギー利用.json; outputs/20251201_03_1p5CRM_steps_energy/20251201_13_1p5CRM_steps_energy_data_common_10_エネルギー利用.json; outputs/20251201_21_energy_stat/20251201_21_energy_stat_data_common_3_エネルギー利用.json; outputs/20251218_02_SEP/20260311_02_SEP_numbers.json,生成スクリプト不明の中間ファイルあり(既存ファイルは保持): outputs/20251118_01_1p5CRM_balance_energy/list_20251118_01_1p5CRM_balance_energy_json.txt; outputs/20251118_03_1p5CRM_steps_energy/list_20251118_03_1p5CRM_steps_energy_json.txt; outputs/20251120_21_energy_stat/list_20250721_04_energy_stat_json.txt
