year,total_emissions_MtCO2eq,total_gdp_trillion_intl,emissions_intensity_tCO2eq_per_10k_intl,intensity_q16_68pct_lo,intensity_q84_68pct_hi,intensity_q5_90pct_lo,intensity_q95_90pct_hi
1980,1149.7476,2.4818,4.632685,4.632685,4.632685,4.632685,4.632685
1981,1122.8364,2.5863,4.341517,4.341517,4.341517,4.341517,4.341517
1982,1077.8199,2.6719,4.033857,4.033857,4.033857,4.033857,4.033857
1983,1079.7505,2.7661,3.903559,3.903559,3.903559,3.903559,3.903559
1984,1149.5959,2.8906,3.977022,3.977022,3.977022,3.977022,3.977022
1985,1122.7691,3.0419,3.691062,3.691062,3.691062,3.691062,3.691062
1986,1118.2916,3.1431,3.557969,3.557969,3.557969,3.557969,3.557969
1987,1118.7098,3.2918,3.398515,3.398515,3.398515,3.398515,3.398515
1988,1190.7458,3.5151,3.38751,3.38751,3.38751,3.38751,3.38751
1989,1221.365,3.6859,3.313641,3.313641,3.313641,3.313641,3.313641
1990,1303.9367,3.8662,3.37264,3.37264,3.37264,3.37264,3.37264
1991,1315.3629,3.9983,3.289782,3.289782,3.289782,3.289782,3.289782
1992,1327.3335,4.0322,3.291806,3.291806,3.291806,3.291806,3.291806
1993,1321.1896,4.0113,3.29363,3.29363,3.29363,3.29363,3.29363
1994,1376.9938,4.0465,3.402937,3.402937,3.402937,3.402937,3.402937
1995,1393.2072,4.1529,3.354741,3.354741,3.354741,3.354741,3.354741
1996,1407.3729,4.2831,3.285872,3.285872,3.285872,3.285872,3.285872
1997,1390.0278,4.3251,3.213848,3.213848,3.213848,3.213848,3.213848
1998,1327.8329,4.2702,3.10954,3.10954,3.10954,3.10954,3.10954
1999,1353.5989,4.2559,3.180502,3.180502,3.180502,3.180502,3.180502
2000,1369.8563,4.3736,3.132098,3.132098,3.132098,3.132098,3.132098
2001,1350.3314,4.3905,3.075584,3.075584,3.075584,3.075584,3.075584
2002,1385.2715,4.3923,3.153841,3.153841,3.153841,3.153841,3.153841
2003,1391.8832,4.4598,3.120987,3.120987,3.120987,3.120987,3.120987
2004,1384.4855,4.5572,3.037988,3.037988,3.037988,3.037988,3.037988
2005,1388.5334,4.6395,2.992879,2.992879,2.992879,2.992879,2.992879
2006,1360.0182,4.7031,2.891742,2.891742,2.891742,2.891742,2.891742
2007,1400.4064,4.7729,2.934076,2.934076,2.934076,2.934076,2.934076
2008,1327.8623,4.7145,2.816559,2.816559,2.816559,2.816559,2.816559
2009,1260.7833,4.4461,2.835714,2.835714,2.835714,2.835714,2.835714
2010,1325.4583,4.6283,2.863819,2.863819,2.863819,2.863819,2.863819
2011,1374.8469,4.6294,2.969817,2.969817,2.969817,2.969817,2.969817
2012,1415.1611,4.6931,3.015437,3.015437,3.015437,3.015437,3.015437
2013,1428.3505,4.7871,2.983718,2.983718,2.983718,2.983718,2.983718
2014,1386.0609,4.8013,2.886833,2.886833,2.886833,2.886833,2.886833
2015,1343.1703,4.8763,2.754504,2.754504,2.754504,2.754504,2.754504
2016,1333.2577,4.913,2.713715,2.713715,2.713715,2.713715,2.713715
2017,1319.7755,4.9953,2.642019,2.642019,2.642019,2.642019,2.642019
2018,1272.7913,5.0245,2.533169,2.533169,2.533169,2.533169,2.533169
2019,1333.6846,5.0124,2.660748,2.591491,2.732824,2.544561,2.785866
2020,1269.9709,4.787,2.652967,2.537728,2.771434,2.460929,2.858205
2021,1284.2175,4.8646,2.639935,2.492248,2.792405,2.392873,2.906341
2022,1306.7088,4.9809,2.623418,2.449354,2.804957,2.333627,2.944728
2023,1328.9308,5.0962,2.607664,2.413109,2.814026,2.281327,2.975112
2024,1330.9894,5.1372,2.590899,2.377954,2.818685,2.231892,3.004298
2025,1331.7623,5.1725,2.574715,2.344534,2.825315,2.184934,3.030819
2026,1329.7078,5.196,2.559099,2.311409,2.832239,2.140547,3.055147
2027,1327.6039,5.2192,2.54368,2.278537,2.840429,2.095416,3.082198
2028,1325.3257,5.2423,2.528154,2.246397,2.848203,2.052181,3.112334
2029,1323.1627,5.2653,2.513008,2.214631,2.856683,2.010665,3.143051
2030,1321.711,5.2883,2.4993,2.182217,2.866727,1.967947,3.177629
2031,1320.0483,5.3116,2.485218,2.150959,2.879368,1.924967,3.215994
2032,1318.8099,5.3351,2.471943,2.119553,2.891706,1.883333,3.255746
2033,1317.296,5.3589,2.458153,2.087721,2.904533,1.840903,3.294482
2034,1315.9312,5.3829,2.444635,2.056542,2.91836,1.800819,3.337746
2035,1315.3101,5.4073,2.432479,2.02511,2.934305,1.759601,3.381325
2036,1314.6815,5.432,2.420274,1.994045,2.949159,1.722299,3.427986
2037,1314.067,5.457,2.408033,1.963647,2.96558,1.683217,3.473835
2038,1314.0657,5.4825,2.39682,1.933486,2.984104,1.643285,3.526649
2039,1313.8804,5.5086,2.385141,1.903613,3.00218,1.606048,3.575728
2040,1314.1816,5.5353,2.374181,1.874444,3.020088,1.5717,3.627941
2041,1314.4941,5.5627,2.363046,1.845645,3.042381,1.535479,3.682159
2042,1315.465,5.5909,2.352872,1.817564,3.063448,1.499216,3.739814
2043,1316.5921,5.6199,2.342729,1.78974,3.084966,1.464189,3.797182
2044,1317.9137,5.6498,2.332661,1.763625,3.108057,1.430756,3.860148
2045,1318.8342,5.6807,2.321595,1.737604,3.131175,1.398396,3.919868
2046,1320.5771,5.7127,2.31167,1.712014,3.152699,1.367756,3.977988
2047,1322.625,5.7448,2.302289,1.688331,3.176361,1.338022,4.040788
2048,1324.4726,5.7772,2.292572,1.665216,3.195591,1.309348,4.103469
2049,1327.2935,5.8099,2.284549,1.644023,3.214741,1.281523,4.155962
2050,1328.9327,5.8413,2.275071,1.625367,3.226595,1.255983,4.193628
