year,total_emissions_MtCO2eq,q5_MtCO2eq,q16_MtCO2eq,q84_MtCO2eq,q95_MtCO2eq
1980,1149.7476,1149.7476,1149.7476,1149.7476,1149.7476
1981,1122.8364,1122.8364,1122.8364,1122.8364,1122.8364
1982,1077.8199,1077.8199,1077.8199,1077.8199,1077.8199
1983,1079.7505,1079.7505,1079.7505,1079.7505,1079.7505
1984,1149.5959,1149.5959,1149.5959,1149.5959,1149.5959
1985,1122.7691,1122.7691,1122.7691,1122.7691,1122.7691
1986,1118.2916,1118.2916,1118.2916,1118.2916,1118.2916
1987,1118.7098,1118.7098,1118.7098,1118.7098,1118.7098
1988,1190.7458,1190.7458,1190.7458,1190.7458,1190.7458
1989,1221.365,1221.365,1221.365,1221.365,1221.365
1990,1303.9367,1303.9367,1303.9367,1303.9367,1303.9367
1991,1315.3629,1315.3629,1315.3629,1315.3629,1315.3629
1992,1327.3335,1327.3335,1327.3335,1327.3335,1327.3335
1993,1321.1896,1321.1896,1321.1896,1321.1896,1321.1896
1994,1376.9938,1376.9938,1376.9938,1376.9938,1376.9938
1995,1393.2072,1393.2072,1393.2072,1393.2072,1393.2072
1996,1407.3729,1407.3729,1407.3729,1407.3729,1407.3729
1997,1390.0278,1390.0278,1390.0278,1390.0278,1390.0278
1998,1327.8329,1327.8329,1327.8329,1327.8329,1327.8329
1999,1353.5989,1353.5989,1353.5989,1353.5989,1353.5989
2000,1369.8563,1369.8563,1369.8563,1369.8563,1369.8563
2001,1350.3314,1350.3314,1350.3314,1350.3314,1350.3314
2002,1385.2715,1385.2715,1385.2715,1385.2715,1385.2715
2003,1391.8832,1391.8832,1391.8832,1391.8832,1391.8832
2004,1384.4855,1384.4855,1384.4855,1384.4855,1384.4855
2005,1388.5334,1388.5334,1388.5334,1388.5334,1388.5334
2006,1360.0182,1360.0182,1360.0182,1360.0182,1360.0182
2007,1400.4064,1400.4064,1400.4064,1400.4064,1400.4064
2008,1327.8623,1327.8623,1327.8623,1327.8623,1327.8623
2009,1260.7833,1260.7833,1260.7833,1260.7833,1260.7833
2010,1325.4583,1325.4583,1325.4583,1325.4583,1325.4583
2011,1374.8469,1374.8469,1374.8469,1374.8469,1374.8469
2012,1415.1611,1415.1611,1415.1611,1415.1611,1415.1611
2013,1428.3505,1428.3505,1428.3505,1428.3505,1428.3505
2014,1386.0609,1386.0609,1386.0609,1386.0609,1386.0609
2015,1343.1703,1343.1703,1343.1703,1343.1703,1343.1703
2016,1333.2577,1333.2577,1333.2577,1333.2577,1333.2577
2017,1319.7755,1319.7755,1319.7755,1319.7755,1319.7755
2018,1272.7913,1272.7913,1272.7913,1272.7913,1272.7913
2019,1333.6846,1275.4467,1298.97,1369.8124,1396.3995
2020,1269.9709,1178.0425,1214.8062,1326.6808,1368.2179
2021,1284.2175,1164.0324,1212.3738,1358.3876,1413.8131
2022,1306.7088,1162.366,1220.0086,1397.1327,1466.7518
2023,1328.9308,1162.6213,1229.7807,1434.0979,1516.1916
2024,1330.9894,1146.5612,1221.5963,1448.007,1543.3596
2025,1331.7623,1130.1494,1212.7019,1461.3844,1567.6804
2026,1329.7078,1112.2282,1201.0078,1471.6314,1587.4543
2027,1327.6039,1093.6446,1189.2195,1482.4834,1608.6681
2028,1325.3257,1075.8081,1177.621,1493.1039,1631.568
2029,1323.1627,1058.6664,1166.0593,1504.116,1654.8961
2030,1321.711,1040.7147,1154.0272,1516.0187,1680.4336
2031,1320.0483,1022.4654,1142.5031,1529.4046,1708.207
2032,1318.8099,1004.7795,1130.8058,1542.758,1736.9777
2033,1317.296,986.5189,1118.7859,1556.5062,1765.4756
2034,1315.9312,969.3692,1107.0233,1570.9348,1796.6877
2035,1315.3101,951.4661,1095.0342,1586.6615,1828.3781
2036,1314.6815,935.5446,1083.156,1601.9695,1862.0662
2037,1314.067,918.5336,1071.5647,1618.3208,1895.6763
2038,1314.0657,900.9374,1060.0413,1636.0462,1933.499
2039,1313.8804,884.709,1048.6257,1653.7834,1969.7286
2040,1314.1816,869.984,1037.5621,1671.7108,2008.1761
2041,1314.4941,854.1427,1026.6789,1692.3885,2048.2786
2042,1315.465,838.195,1016.1804,1712.7404,2090.889
2043,1316.5921,822.861,1005.8175,1733.7226,2133.9813
2044,1317.9137,808.353,996.4182,1755.9992,2180.9177
2045,1318.8342,794.3904,987.0847,1778.7342,2226.7688
2046,1320.5771,781.3514,978.014,1801.0278,2272.4868
2047,1322.625,768.6705,969.9166,1824.7637,2321.3621
2048,1324.4726,756.441,962.0339,1846.1672,2370.6694
2049,1327.2935,744.548,955.1558,1867.7229,2414.5595
2050,1328.9327,733.6549,949.4226,1884.7451,2449.6159
